file,type,inSitemap,severity,code,detail
guides/number-converter-twos-complement-negative-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/number-converter-twos-complement-negative.html,guide,True,P2,short-desc,description 36자
guides/number-converter-twos-complement-negative.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/open-graph-social-cache-not-updating-en.html,guide-en,True,P2,short-desc,description 34자
guides/open-graph-social-cache-not-updating-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/open-graph-social-cache-not-updating.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/overtime-night-pay-200-percent-5-employee-exemption.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/parental-leave-2025-reform.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/payslip-mandatory-disclosure-500man-fine.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-metadata-remove-empty-vs-delete-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-metadata-remove-empty-vs-delete.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-ocr-per-page-text-detection-en.html,guide-en,True,P2,short-desc,description 29자
guides/pdf-ocr-per-page-text-detection-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-ocr-per-page-text-detection.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-size-analyzer-shared-resource-limit-en.html,guide-en,True,P2,short-desc,description 4자
guides/pdf-size-analyzer-shared-resource-limit-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-size-analyzer-shared-resource-limit.html,guide,True,P2,short-desc,description 17자
guides/pdf-size-analyzer-shared-resource-limit.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-to-text-table-coordinate-scatter-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-to-text-table-coordinate-scatter.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-user-vs-owner-password-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pdf-user-vs-owner-password.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/percentage-point-vs-percent-difference.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pixelate-image-low-intensity-recovery-risk-en.html,guide-en,True,P2,short-desc,description 30자
guides/pixelate-image-low-intensity-recovery-risk-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/pixelate-image-low-intensity-recovery-risk.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/png-to-svg-not-real-vector-tracing-en.html,guide-en,True,P2,short-desc,description 35자
guides/prepayment-fee-3year-exemption.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/profit-gross-operating-net-three-stages.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/prompt-cleaner-token-count-approximation-en.html,guide-en,True,P2,short-desc,description 16자
guides/prompt-cleaner-token-count-approximation.html,guide,True,P2,short-desc,description 10자
guides/prompt-formats-chatml-xml-jsonl-en.html,guide-en,True,P2,short-desc,description 6자
guides/prompt-optimizer-task-type-rctf-structure-en.html,guide-en,True,P2,short-desc,description 30자
guides/prompt-template-chain-of-thought-fixed-steps-en.html,guide-en,True,P2,short-desc,description 31자
guides/prompt-template-chain-of-thought-fixed-steps-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/prompt-template-chain-of-thought-fixed-steps.html,guide,True,P2,short-desc,description 38자
guides/prompt-template-chain-of-thought-fixed-steps.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/prompt-variable-extractor-bracket-syntax-limit-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/prompt-variable-extractor-bracket-syntax-limit.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/property-tax-comprehensive-not-double-taxation.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/qr-code-error-correction-logo-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/qr-code-error-correction-logo.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/random-string-crypto-entropy-calculation-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/random-string-crypto-entropy-calculation.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/reading-level-smog-formula-simplification-error-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/reading-level-smog-formula-simplification-error.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/reading-time-korean-cjk-char-count-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/reading-time-korean-cjk-char-count.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/realestate-agent-fee-negotiable-cap-rate.html,guide,True,P2,short-desc,description 21자
guides/realestate-agent-fee-negotiable-cap-rate.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/redirect-checker-301-302-307-308-explained-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/redirect-checker-301-302-307-308-explained.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/regex-generator-credit-card-no-luhn-check-en.html,guide-en,True,P2,short-desc,description 19자
guides/regex-generator-credit-card-no-luhn-check.html,guide,True,P2,short-desc,description 9자
guides/regex-zero-width-match-count-not-visible-en.html,guide-en,True,P2,short-desc,description 23자
guides/regex-zero-width-match-count-not-visible-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/regex-zero-width-match-count-not-visible.html,guide,True,P2,short-desc,description 10자
guides/regex-zero-width-match-count-not-visible.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/remove-special-characters-emoji-surrogate-bug-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/remove-special-characters-emoji-surrogate-bug.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/rental-contract-checklist.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/retirement-fire-25x-annual-expense-target.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/retirement-pension-db-vs-dc-wage-growth.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/robots-meta-tag-noindex-follow-combinations-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/robots-meta-tag-noindex-follow-combinations.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/robots-txt-disallow-empty-vs-slash-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
